"id";"page";"site_title";"original_file_name";"extension";"url";"download_status";"direction";"package";"content_short";"year";"proposed_name";"ocr_status";"notes"
"1";"1";"Роз’яснення щодо особливостей обліку стаціонарних послуг за п. «Хірургічні операції дорослим та дітям у стаціонарних умовах» та «Хірургічні операції дорослим та дітям в умовах стаціонару одного дня»";"vnI0OHg7UKvJMklzlAsdICwxwIMaFkT601U9TIS3.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/05/13/vnI0OHg7UKvJMklzlAsdICwxwIMaFkT601U9TIS3.pdf";"не завантажено";"";"";"";"";"";"";""
"2";"1";"Додаток 1 до роз’яснення щодо особливостей обліку стаціонарних послуг за п. «Хірургічні операції дорослим та дітям у стаціонарних умовах» та «Хірургічні операції дорослим та дітям в умовах стаціонару одного дня»";"SVuCqCDybEAx0FL8Y7sMKr8Jrnh9L0ULRram1Osd.xlsx";"xlsx";"https://backend.nszu.gov.ua/storage/application/26/05/13/SVuCqCDybEAx0FL8Y7sMKr8Jrnh9L0ULRram1Osd.xlsx";"не завантажено";"";"";"";"";"";"";""
"3";"1";"Додатковий лист-роз'яснення щодо дати і часу внесення ЕМЗ";"8lZvGZCRYmkdJ5wkQxI3F8qfPri2j1pJ9Mx6Iw0W.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/05/04/8lZvGZCRYmkdJ5wkQxI3F8qfPri2j1pJ9Mx6Iw0W.pdf";"не завантажено";"";"";"";"";"";"";""
"4";"1";"Додатково до листа по Алгоритму кодування та внесення даних в ЕСОЗ межах пакету «Медична допомога при пологах» в розрізі передчасних пологів.";"3yj6SsW2AqnKIgKUay65nsrqIAtkdJcnSu1gDRD6.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/04/30/3yj6SsW2AqnKIgKUay65nsrqIAtkdJcnSu1gDRD6.pdf";"не завантажено";"";"";"";"";"";"";""
"5";"1";"Уточнюючі роз’яснення щодо правил обліку та кодування надання медичних послуг за сервісами пакету «Профілактика, діагностика, спостереження та лікування в амбулаторних умовах» у 2026 році";"lx83gL4OV6kNUFDvTDVAXwesNkw4mImjZKInNpsy.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/04/28/lx83gL4OV6kNUFDvTDVAXwesNkw4mImjZKInNpsy.pdf";"не завантажено";"";"";"";"";"";"";""
"6";"1";"Додаток 1";"LU2dY5xQGNoIAx16rPLNeCcJ1fVdaVV6zDoH0mac.xlsx";"xlsx";"https://backend.nszu.gov.ua/storage/application/26/04/29/LU2dY5xQGNoIAx16rPLNeCcJ1fVdaVV6zDoH0mac.xlsx";"не завантажено";"";"";"";"";"";"";""
"7";"1";"Додаток 2";"YJNi4twBxuBJfHEAbAlSSlFK3SwHI6OVSzsASxC6.xlsx";"xlsx";"https://backend.nszu.gov.ua/storage/application/26/04/28/YJNi4twBxuBJfHEAbAlSSlFK3SwHI6OVSzsASxC6.xlsx";"не завантажено";"";"";"";"";"";"";""
"8";"1";"Роз’яснення щодо принципу оплати послуг за пакетом медичних послуг «Довготривалий медичний догляд окремим категоріям осіб, які захищали незалежність, суверенітет та територіальну цілісність України», а також щодо правил ведення електронних медичних записів (далі – ЕМЗ) в електронній системі охорони здоров’я (далі - ЕСОЗ)";"IjV4z50Ct4ZZB5twFxxdJKt6aJ2QJauCY65Bthoo.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/04/16/IjV4z50Ct4ZZB5twFxxdJKt6aJ2QJauCY65Bthoo.pdf";"не завантажено";"";"";"";"";"";"";""
"9";"1";"Роз'яснення щодо особливостей реалізації програми державних гарантій медичного обслуговування населення у 2026 році";"6BYt4zKH5NTlYe1pVSUrj02BOzKpjzY84SAGr4QT.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/04/10/6BYt4zKH5NTlYe1pVSUrj02BOzKpjzY84SAGr4QT.pdf";"не завантажено";"";"";"";"";"";"";""
"10";"1";"Роз’яснення щодо обліку наданих послуг в електронній системі охорони здоров’я (далі – ЕСОЗ) та критеріїв віднесення випадків надання реабілітаційної допомоги до послуг пакету «Реабілітаційна допомога дорослим і дітям у амбулаторних умовах»";"O1JWfIHc5VByZuilsqHmk7HeIppHbYCPIbKiy6fT.pdf";"pdf";"https://backend.nszu.gov.ua/storage/application/26/04/02/O1JWfIHc5VByZuilsqHmk7HeIppHbYCPIbKiy6fT.pdf";"не завантажено";"";"";"";"";"";"";""
