id;site_title;original_file_name;extension;url;direction;package;content_short;year;year_basis;text_quality;proposed_name;duplicate_of;review_required;download_status;ocr_status;renamed_relative_path;direction_relative_path
1;Роз’яснення щодо особливостей обліку стаціонарних послуг за п. «Хірургічні операції дорослим та дітям у стаціонарних умовах» та «Хірургічні операції дорослим та дітям в умовах стаціонару одного дня»;vnI0OHg7UKvJMklzlAsdICwxwIMaFkT601U9TIS3.pdf;pdf;https://backend.nszu.gov.ua/storage/application/26/05/13/vnI0OHg7UKvJMklzlAsdICwxwIMaFkT601U9TIS3.pdf;Хірургічна-допомога;Хірургія-стаціонар;Облік-послуг;2026;publication_year;text_ok;Хірургічна-допомога_Хірургія-стаціонар_Облік-послуг_2026.pdf;;;завантажено;машинний текст доступний;02_Перейменовані/Хірургічна-допомога_Хірургія-стаціонар_Облік-послуг_2026.pdf;03_За_напрямами/Хірургічна-допомога/Хірургічна-допомога_Хірургія-стаціонар_Облік-послуг_2026.pdf
2;Додаток 1 до роз’яснення щодо особливостей обліку стаціонарних послуг за п. «Хірургічні операції дорослим та дітям у стаціонарних умовах» та «Хірургічні операції дорослим та дітям в умовах стаціонару одного дня»;SVuCqCDybEAx0FL8Y7sMKr8Jrnh9L0ULRram1Osd.xlsx;xlsx;https://backend.nszu.gov.ua/storage/application/26/05/13/SVuCqCDybEAx0FL8Y7sMKr8Jrnh9L0ULRram1Osd.xlsx;Хірургічна-допомога;Хірургія-стаціонар;Додаток-1_до-роз'яснення-щодо-о;2026;publication_year;text_ok;Хірургічна-допомога_Хірургія-стаціонар_Додаток-1_до-роз'яснення-щодо-о_2026.xlsx;;;завантажено;машинний текст доступний;02_Перейменовані/Хірургічна-допомога_Хірургія-стаціонар_Додаток-1_до-роз'яснення-щодо-о_2026.xlsx;03_За_напрямами/Хірургічна-допомога/Хірургічна-допомога_Хірургія-стаціонар_Додаток-1_до-роз'яснення-щодо-о_2026.xlsx
3;Додатковий лист-роз'яснення щодо дати і часу внесення ЕМЗ;8lZvGZCRYmkdJ5wkQxI3F8qfPri2j1pJ9Mx6Iw0W.pdf;pdf;https://backend.nszu.gov.ua/storage/application/26/05/04/8lZvGZCRYmkdJ5wkQxI3F8qfPri2j1pJ9Mx6Iw0W.pdf;Хірургічна-допомога;Хірургія-стаціонар;Внесення-даних-ЕСОЗ;2026;publication_year;text_ok;Хірургічна-допомога_Хірургія-стаціонар_Внесення-даних-ЕСОЗ_2026.pdf;;;завантажено;машинний текст доступний;02_Перейменовані/Хірургічна-допомога_Хірургія-стаціонар_Внесення-даних-ЕСОЗ_2026.pdf;03_За_напрямами/Хірургічна-допомога/Хірургічна-допомога_Хірургія-стаціонар_Внесення-даних-ЕСОЗ_2026.pdf
4;Додатково до листа по Алгоритму кодування та внесення даних в ЕСОЗ межах пакету «Медична допомога при пологах» в розрізі передчасних пологів.;3yj6SsW2AqnKIgKUay65nsrqIAtkdJcnSu1gDRD6.pdf;pdf;https://backend.nszu.gov.ua/storage/application/26/04/30/3yj6SsW2AqnKIgKUay65nsrqIAtkdJcnSu1gDRD6.pdf;Материнство-та-дитинство;Допомога-при-пологах;Внесення-даних-ЕСОЗ;2026;publication_year;text_ok;Материнство-та-дитинство_Допомога-при-пологах_Внесення-даних-ЕСОЗ_2026.pdf;;;завантажено;машинний текст доступний;02_Перейменовані/Материнство-та-дитинство_Допомога-при-пологах_Внесення-даних-ЕСОЗ_2026.pdf;03_За_напрямами/Материнство-та-дитинство/Материнство-та-дитинство_Допомога-при-пологах_Внесення-даних-ЕСОЗ_2026.pdf
5;Уточнюючі роз’яснення щодо правил обліку та кодування надання медичних послуг за сервісами пакету «Профілактика, діагностика, спостереження та лікування в амбулаторних умовах» у 2026 році;lx83gL4OV6kNUFDvTDVAXwesNkw4mImjZKInNpsy.pdf;pdf;https://backend.nszu.gov.ua/storage/application/26/04/28/lx83gL4OV6kNUFDvTDVAXwesNkw4mImjZKInNpsy.pdf;Амбулаторна-допомога;Амбулаторна-допомога;Облік-та-кодування;2026;title_year;text_ok;Амбулаторна-допомога_Амбулаторна-допомога_Облік-та-кодування_2026.pdf;;;завантажено;машинний текст доступний;02_Перейменовані/Амбулаторна-допомога_Амбулаторна-допомога_Облік-та-кодування_2026.pdf;03_За_напрямами/Амбулаторна-допомога/Амбулаторна-допомога_Амбулаторна-допомога_Облік-та-кодування_2026.pdf
6;Додаток 1;LU2dY5xQGNoIAx16rPLNeCcJ1fVdaVV6zDoH0mac.xlsx;xlsx;https://backend.nszu.gov.ua/storage/application/26/04/29/LU2dY5xQGNoIAx16rPLNeCcJ1fVdaVV6zDoH0mac.xlsx;Амбулаторна-допомога;Амбулаторна-допомога;Додаток_Уточнюючі-роз'ясненн;2026;publication_year;text_ok;Амбулаторна-допомога_Амбулаторна-допомога_Додаток_Уточнюючі-роз'ясненн_2026.xlsx;;;завантажено;машинний текст доступний;02_Перейменовані/Амбулаторна-допомога_Амбулаторна-допомога_Додаток_Уточнюючі-роз'ясненн_2026.xlsx;03_За_напрямами/Амбулаторна-допомога/Амбулаторна-допомога_Амбулаторна-допомога_Додаток_Уточнюючі-роз'ясненн_2026.xlsx
7;Додаток 2;YJNi4twBxuBJfHEAbAlSSlFK3SwHI6OVSzsASxC6.xlsx;xlsx;https://backend.nszu.gov.ua/storage/application/26/04/28/YJNi4twBxuBJfHEAbAlSSlFK3SwHI6OVSzsASxC6.xlsx;Амбулаторна-допомога;Амбулаторна-допомога;Додаток_Уточнюючі-роз'ясненн;2026;publication_year;text_ok;Амбулаторна-допомога_Амбулаторна-допомога_Додаток_Уточнюючі-роз'ясненн_2026_02.xlsx;;;завантажено;машинний текст доступний;02_Перейменовані/Амбулаторна-допомога_Амбулаторна-допомога_Додаток_Уточнюючі-роз'ясненн_2026_02.xlsx;03_За_напрямами/Амбулаторна-допомога/Амбулаторна-допомога_Амбулаторна-допомога_Додаток_Уточнюючі-роз'ясненн_2026_02.xlsx
8;Роз’яснення щодо принципу оплати послуг за пакетом медичних послуг «Довготривалий медичний догляд окремим категоріям осіб, які захищали незалежність, суверенітет та територіальну цілісність України», а також щодо правил ведення електронних медичних записів (далі – ЕМЗ) в електронній системі охорони здоров’я (далі - ЕСОЗ);IjV4z50Ct4ZZB5twFxxdJKt6aJ2QJauCY65Bthoo.pdf;pdf;https://backend.nszu.gov.ua/storage/application/26/04/16/IjV4z50Ct4ZZB5twFxxdJKt6aJ2QJauCY65Bthoo.pdf;ЕСОЗ-та-ЕМЗ;Без-пакета;Ведення-ЕМЗ;2026;publication_year;text_ok;ЕСОЗ-та-ЕМЗ_Без-пакета_Ведення-ЕМЗ_2026.pdf;;;завантажено;машинний текст доступний;02_Перейменовані/ЕСОЗ-та-ЕМЗ_Без-пакета_Ведення-ЕМЗ_2026.pdf;03_За_напрямами/ЕСОЗ-та-ЕМЗ/ЕСОЗ-та-ЕМЗ_Без-пакета_Ведення-ЕМЗ_2026.pdf
9;Роз'яснення щодо особливостей реалізації програми державних гарантій медичного обслуговування населення у 2026 році;6BYt4zKH5NTlYe1pVSUrj02BOzKpjzY84SAGr4QT.pdf;pdf;https://backend.nszu.gov.ua/storage/application/26/04/10/6BYt4zKH5NTlYe1pVSUrj02BOzKpjzY84SAGr4QT.pdf;ПМГ;Без-пакета;особливостей-реалізації-програми-державних-гарантій-меди;2026;title_year;text_ok;ПМГ_Без-пакета_особливостей-реалізації-програми-державних-гарантій-меди_2026.pdf;;;завантажено;машинний текст доступний;02_Перейменовані/ПМГ_Без-пакета_особливостей-реалізації-програми-державних-гарантій-меди_2026.pdf;03_За_напрямами/ПМГ/ПМГ_Без-пакета_особливостей-реалізації-програми-державних-гарантій-меди_2026.pdf
10;Роз’яснення щодо обліку наданих послуг в електронній системі охорони здоров’я (далі – ЕСОЗ) та критеріїв віднесення випадків надання реабілітаційної допомоги до послуг пакету «Реабілітаційна допомога дорослим і дітям у амбулаторних умовах»;O1JWfIHc5VByZuilsqHmk7HeIppHbYCPIbKiy6fT.pdf;pdf;https://backend.nszu.gov.ua/storage/application/26/04/02/O1JWfIHc5VByZuilsqHmk7HeIppHbYCPIbKiy6fT.pdf;Реабілітація;Реабілітація;Облік-послуг;2026;publication_year;text_ok;Реабілітація_Реабілітація_Облік-послуг_2026.pdf;;;завантажено;машинний текст доступний;02_Перейменовані/Реабілітація_Реабілітація_Облік-послуг_2026.pdf;03_За_напрямами/Реабілітація/Реабілітація_Реабілітація_Облік-послуг_2026.pdf
